project_id,client_id,opportunity_id,name,type,status,start_date,end_date,estimated_budget,actual_cost,project_manager
47,52,102.0,"AI Strategy Project - Valdez, Lucas and Brown",Fixed Price,Completed,2020-11-11,2021-05-30,191360.81,212068.98,Robert Chen
48,52,103.0,"Cloud Migration Project - Valdez, Lucas and Brown",Fixed Price,Completed,2021-12-10,2022-08-10,325290.46,386598.55,Robert Chen
49,55,107.0,Cloud Migration Project - Ramirez and Sons,Retainer,Completed,2024-02-26,2024-05-19,29181.91,28661.83,Sophia Martinez
50,55,108.0,AI Implementation Project - Ramirez and Sons,Time & Materials,Completed,2024-07-05,2024-11-24,89739.3,86231.73,Sophia Martinez
51,56,109.0,Cloud Infrastructure Project - Morton-Chase Pharma,Fixed Price,Completed,2023-06-12,2023-11-10,120127.77,132120.49,Benjamin Lee
52,56,110.0,Cloud Infrastructure Project - Morton-Chase Pharma,Retainer,Planning,2025-03-23,2025-09-21,297555.39,,Benjamin Lee
53,56,111.0,Web Development Project - Morton-Chase Pharma,Fixed Price,Completed,2024-06-30,2024-10-25,123806.59,112722.14,Robert Chen
54,57,115.0,Cloud Infrastructure Project - Pearson PLC Stores,Fixed Price,Completed,2022-12-17,2023-02-01,53717.57,53979.4,Robert Chen
55,57,116.0,Cloud Migration Project - Pearson PLC Stores,Maintenance,Completed,2022-03-09,2022-06-26,80344.31,81516.95,Olivia Taylor
56,58,120.0,Cloud Migration Project - House and Sons,Time & Materials,Active,2025-01-10,2025-03-06,85588.07,,Benjamin Lee
57,61,130.0,AI Implementation Project - House-Glover,Maintenance,Completed,2021-06-25,2022-03-09,150988.59,153306.28,Robert Chen
58,63,131.0,"AI Implementation Project - Higgins, Moore and Phillips",Time & Materials,Completed,2022-02-17,2022-07-20,68774.1,78449.62,Sophia Martinez
59,64,135.0,"Web Development Project - Fitzgerald, Brown and Edwards",Fixed Price,Completed,2023-04-26,2023-06-09,323946.22,326758.12,James Wilson
60,65,137.0,"Cloud Infrastructure Project - Woods, Calhoun and Schmidt",Time & Materials,Completed,2024-04-03,2024-08-20,61200.57,59380.37,Sophia Martinez
61,65,139.0,"Mobile App Project - Woods, Calhoun and Schmidt",Time & Materials,Completed,2024-05-11,2024-08-12,98553.51,116643.57,James Wilson
62,68,145.0,"Cloud Infrastructure Project - Wheeler, Harvey and Barnes",Fixed Price,Active,2025-02-28,2025-08-05,410552.37,,Olivia Taylor
63,68,146.0,"AI Implementation Project - Wheeler, Harvey and Barnes",Fixed Price,Planning,2025-05-15,2025-11-18,381023.64,,Robert Chen
64,69,152.0,"Cloud Infrastructure Project - Mills, Donovan and Harris",Time & Materials,Active,2025-02-21,2025-05-23,37477.27,,James Wilson
65,70,154.0,Cloud Migration Project - Allen-Foster,Fixed Price,Completed,2021-01-04,2021-08-28,522670.54,611340.64,Benjamin Lee
66,72,161.0,AI Implementation Project - Ellis PLC School,Fixed Price,Active,2025-02-22,2025-08-23,461511.59,,Sophia Martinez
67,72,163.0,AI Implementation Project - Ellis PLC School,Fixed Price,Planning,2025-04-13,2025-12-30,471036.07,,Olivia Taylor
68,73,165.0,Cloud Infrastructure Project - Medina PLC Banking,Fixed Price,Completed,2020-12-10,2021-06-24,129959.42,164573.06,Robert Chen
69,73,166.0,Cloud Migration Project - Medina PLC Banking,Time & Materials,Completed,2020-12-07,2021-07-13,86705.23,101387.05,Sophia Martinez
70,74,170.0,Security Audit Project - Mahoney Inc,Retainer,Completed,2023-07-02,2023-09-21,35404.22,30947.69,James Wilson
71,1,,Performance Optimization - Johnson LLC,Fixed Price,Completed,2023-02-06,2023-03-21,3095.63,2910.31,Benjamin Lee
72,74,,Content Migration - Mahoney Inc,Fixed Price,Completed,2022-08-08,2022-09-14,10100.29,10086.88,Sophia Martinez
73,70,,Maintenance Contract - Allen-Foster,Maintenance,Completed,2020-11-04,2021-02-02,23647.95,21396.24,Benjamin Lee
74,40,,Website Update - Baker PLC,Time & Materials,Completed,2020-01-03,2020-02-28,7515.3,7873.15,James Wilson
75,19,,"Maintenance Contract - Hawkins, Cohen and Cameron",Maintenance,Completed,2021-02-24,2022-02-24,24662.31,24266.81,Robert Chen
