allocation_id,project_id,employee_id,start_date,end_date,allocated_percentage,billing_rate
44,10,6,2025-06-03,2025-08-11,50,169.13
45,10,10,2025-06-08,2025-07-09,75,190.89
46,10,21,2025-06-03,2025-08-11,50,206.2
47,11,6,2021-05-23,2021-10-04,100,156.01
48,11,10,2021-07-06,2021-10-04,50,184.29
49,11,21,2021-05-23,2021-10-04,100,209.77
50,11,54,2021-05-23,2021-10-04,100,172.76
51,11,24,2021-05-23,2021-10-04,100,243.3
52,11,58,2021-06-20,2021-08-10,100,104.53
53,11,40,2021-05-23,2021-10-04,75,106.01
54,11,36,2021-05-23,2021-10-04,25,87.74
55,12,65,2022-06-08,2022-09-25,100,148.69
56,12,13,2022-06-08,2022-07-27,50,110.17
57,12,90,2022-06-08,2022-09-25,100,115.0
58,12,49,2022-06-08,2022-09-25,50,176.94
59,12,78,2022-06-08,2022-08-12,75,113.82
60,12,74,2022-06-08,2022-09-25,100,109.12
61,12,73,2022-06-08,2022-09-25,25,157.06
62,12,47,2022-06-08,2022-09-25,100,93.57
63,13,6,2023-06-25,2023-12-30,25,168.69
64,13,10,2023-07-23,2023-12-30,50,212.53
65,13,21,2023-06-25,2023-12-30,75,182.86
66,13,43,2023-06-25,2023-12-30,50,143.97
67,13,66,2023-07-24,2023-11-23,75,130.53
68,14,90,2023-05-07,2023-07-29,100,113.6
69,14,100,2023-05-07,2023-07-29,100,117.26
70,14,3,2023-05-07,2023-06-07,25,110.81
71,14,13,2023-05-07,2023-07-29,100,119.91
72,14,19,2023-05-07,2023-07-25,50,126.16
73,14,2,2023-05-12,2023-07-29,75,105.29
74,14,65,2023-05-07,2023-07-29,100,165.69
75,14,23,2023-05-07,2023-07-29,75,180.91
76,15,49,2023-07-09,2023-09-05,25,189.76
77,15,57,2023-07-12,2023-09-05,100,99.23
78,15,2,2023-07-18,2023-08-27,75,119.76
79,15,5,2023-07-09,2023-09-05,75,129.14
80,15,85,2023-07-09,2023-09-05,100,166.84
81,15,94,2023-07-27,2023-09-05,75,128.49
82,15,73,2023-07-09,2023-09-05,50,172.26
83,15,99,2023-07-26,2023-08-18,75,122.95
84,16,6,2025-06-04,2026-01-24,50,174.76
85,16,10,2025-06-04,2026-01-24,50,211.0
86,16,21,2025-06-07,2026-01-24,75,202.43
87,16,3,2025-06-04,2026-01-24,100,117.9
88,16,36,2025-06-16,2026-01-24,100,104.66
89,16,84,2025-06-04,2025-07-24,25,220.94
90,16,54,2025-06-21,2026-01-24,100,170.62
91,17,17,2024-04-20,2024-08-08,100,117.07
92,17,22,2024-03-12,2024-08-08,25,129.49
93,17,25,2024-03-12,2024-08-08,50,168.74
94,17,66,2024-03-12,2024-08-08,50,126.92
95,17,86,2024-03-12,2024-08-08,50,118.18
96,17,41,2024-03-12,2024-08-08,50,121.83
97,18,69,2023-01-18,2023-04-14,50,106.63
98,18,36,2023-01-18,2023-04-14,50,86.59
99,18,3,2023-01-18,2023-04-14,100,104.43
100,18,85,2023-01-21,2023-04-14,100,170.34
101,18,99,2023-02-09,2023-04-14,75,113.45
102,18,35,2023-01-18,2023-04-14,50,168.67
103,18,76,2023-01-18,2023-04-14,100,104.25
104,18,73,2023-01-18,2023-04-14,50,169.34
105,19,17,2022-07-09,2023-04-12,75,117.89
106,19,22,2022-06-04,2023-04-12,25,124.69
107,19,25,2022-06-04,2023-04-12,25,157.98
108,19,5,2022-07-03,2023-02-26,100,125.37
109,19,51,2022-06-04,2023-04-12,100,118.71
110,19,4,2022-06-04,2023-01-03,100,209.11
111,20,6,2021-05-09,2021-07-29,25,159.65
112,20,10,2021-05-09,2021-08-29,50,208.95
113,20,21,2021-05-09,2021-08-29,100,186.18
114,20,19,2021-05-09,2021-08-29,100,132.36
115,20,79,2021-05-09,2021-08-29,75,199.3
116,20,51,2021-05-29,2021-08-22,50,126.72
117,20,43,2021-05-09,2021-08-29,100,154.4
118,21,17,2025-06-13,2025-10-26,100,118.15
119,22,17,2024-02-13,2024-06-30,100,115.53
120,23,6,2023-04-13,2023-09-07,75,165.82
121,23,10,2023-03-12,2023-09-07,75,210.74
122,23,21,2023-03-12,2023-07-25,75,180.88
123,23,19,2023-03-12,2023-09-07,75,134.4
124,23,53,2023-03-12,2023-09-07,75,149.82
125,23,40,2023-03-12,2023-09-07,100,94.89
126,23,64,2023-04-03,2023-09-07,100,145.06
127,23,81,2023-03-22,2023-09-07,100,146.44
128,24,17,2023-03-12,2023-07-25,100,116.93
129,24,22,2023-01-12,2023-07-23,75,123.84
130,24,25,2023-01-12,2023-07-25,50,162.51
131,24,46,2023-01-12,2023-07-25,25,126.94
132,24,66,2023-01-12,2023-07-25,25,121.2
133,24,41,2023-01-12,2023-07-25,100,138.38
134,24,20,2023-01-12,2023-07-25,25,89.02
135,24,26,2023-01-12,2023-07-25,100,171.19
136,25,6,2024-01-29,2024-04-30,100,154.22
137,25,10,2024-01-07,2024-04-30,25,208.9
138,25,21,2024-01-07,2024-04-30,100,204.97
139,25,81,2024-01-07,2024-02-19,100,124.47
140,25,37,2024-01-07,2024-03-13,50,156.59
141,25,36,2024-02-10,2024-04-08,100,90.28
142,26,6,2021-06-16,2021-10-04,50,149.57
143,26,10,2021-05-29,2021-10-04,100,186.67
144,26,21,2021-05-29,2021-10-04,100,187.82
145,26,5,2021-05-29,2021-10-04,50,129.71
146,27,53,2024-08-14,2024-09-24,50,135.4
147,27,15,2024-08-22,2024-10-05,25,192.42
148,28,6,2024-02-06,2024-04-21,100,167.41
149,28,10,2024-02-02,2024-04-21,100,197.08
150,28,21,2024-02-02,2024-04-21,50,201.69
151,29,6,2024-04-17,2024-07-01,50,160.38
152,29,10,2024-03-27,2024-07-01,75,200.71
153,29,21,2024-03-27,2024-07-01,50,183.24
154,29,99,2024-03-27,2024-05-28,50,132.36
155,30,6,2025-04-24,2025-07-19,100,165.4
156,30,10,2025-04-24,2025-07-19,25,201.7
157,30,21,2025-05-15,2025-07-19,100,183.01
158,31,17,2022-11-09,2023-02-05,100,118.36
159,31,22,2022-11-13,2023-03-30,50,108.59
160,31,25,2022-11-09,2023-03-05,100,154.78
161,31,36,2022-11-09,2023-03-27,25,93.86
162,32,6,2023-06-18,2023-08-29,100,173.29
163,33,17,2025-07-12,2025-09-28,100,123.83
164,34,6,2022-01-04,2022-05-26,100,170.24
165,34,10,2022-01-06,2022-04-22,100,196.32
166,35,67,2024-04-15,2024-07-10,100,97.64
167,35,34,2024-04-22,2024-07-10,100,120.13
168,35,90,2024-04-15,2024-07-02,100,122.01
169,36,6,2023-06-16,2023-08-16,25,155.06
170,36,10,2023-06-16,2023-08-16,50,188.42
171,36,21,2023-06-16,2023-08-16,75,198.65
172,36,79,2023-06-16,2023-08-05,100,189.04
173,37,6,2024-03-01,2024-08-02,75,161.73
174,37,10,2024-04-11,2024-08-02,50,214.28
175,37,21,2024-04-10,2024-05-19,100,211.77
176,37,29,2024-03-01,2024-08-02,100,130.26
177,37,66,2024-03-01,2024-08-02,100,119.5
178,37,54,2024-03-01,2024-06-03,50,162.1
179,37,36,2024-03-01,2024-08-02,100,95.36
180,37,3,2024-04-06,2024-08-02,75,132.32
181,38,17,2023-03-25,2023-10-09,25,111.78
182,38,22,2023-03-25,2023-10-09,100,128.72
183,38,25,2023-04-27,2023-10-09,100,170.19
184,38,47,2023-03-25,2023-10-09,100,102.11
185,38,41,2023-03-25,2023-10-09,50,125.04
186,38,40,2023-03-25,2023-05-29,100,96.16
187,38,51,2023-04-04,2023-10-09,50,124.42
188,38,35,2023-03-25,2023-10-09,100,174.19
189,39,6,2024-08-30,2024-12-14,75,154.42
190,39,10,2024-09-07,2024-12-14,100,199.08
191,39,21,2024-08-22,2024-12-14,50,210.36
192,39,19,2024-08-22,2024-12-14,100,119.44
193,39,47,2024-08-22,2024-12-14,100,93.62
194,39,54,2024-08-22,2024-11-08,100,156.6
195,40,17,2024-07-19,2025-05-09,100,117.77
196,40,22,2024-07-19,2025-05-09,50,116.72
197,40,25,2024-07-19,2025-03-26,100,171.65
198,40,19,2024-09-08,2025-05-09,100,132.69
199,40,35,2024-07-19,2025-05-09,75,173.35
200,40,99,2024-08-26,2025-05-09,75,130.05
201,41,49,2024-05-11,2024-08-24,50,174.09
202,41,58,2024-04-28,2024-08-24,50,94.13
203,41,20,2024-05-23,2024-08-24,75,83.16
204,42,17,2024-06-23,2024-11-16,100,123.79
205,42,22,2024-06-23,2024-08-21,50,117.36
206,42,25,2024-06-23,2024-11-16,50,177.65
207,42,66,2024-06-23,2024-08-03,25,137.21
208,42,41,2024-07-16,2024-08-19,25,133.11
209,42,36,2024-07-31,2024-09-21,100,98.99
210,42,5,2024-06-23,2024-11-16,100,128.75
211,42,53,2024-06-25,2024-11-16,50,153.39
212,43,6,2024-03-29,2024-12-08,75,165.15
213,43,10,2024-04-16,2024-12-08,25,202.15
214,43,21,2024-04-10,2024-12-08,100,188.04
215,43,29,2024-03-29,2024-12-08,100,133.67
216,43,93,2024-03-29,2024-12-08,50,193.52
217,44,17,2023-06-05,2024-03-17,100,117.99
218,44,22,2023-06-09,2024-03-17,25,118.8
219,44,25,2023-06-05,2024-03-17,75,177.27
220,44,20,2023-06-05,2024-03-17,50,90.83
221,44,40,2023-07-11,2024-03-17,75,108.78
222,44,53,2023-07-22,2024-03-17,50,134.33
223,44,66,2023-06-05,2024-03-17,75,117.58
224,44,5,2023-07-29,2024-03-17,50,127.59
225,45,6,2022-07-23,2022-10-28,100,166.09
226,45,10,2022-07-31,2022-10-20,25,200.88
227,45,21,2022-07-23,2022-10-28,75,190.78
228,46,6,2020-12-02,2021-04-06,25,150.88
229,46,10,2020-12-19,2021-04-06,25,201.9
230,46,21,2020-12-02,2021-04-06,50,205.03
231,46,81,2020-12-02,2021-04-06,50,126.9
232,46,53,2020-12-02,2021-04-05,75,133.76
233,46,4,2020-12-02,2021-04-06,75,186.55
234,46,5,2020-12-02,2021-04-06,50,134.09
235,46,64,2020-12-02,2021-04-06,100,133.78
236,47,17,2020-11-11,2021-05-30,100,115.89
237,47,22,2020-11-11,2021-05-30,100,122.15
238,47,25,2020-11-11,2021-05-30,75,164.96
239,47,51,2020-11-11,2021-05-30,75,132.26
240,47,26,2020-11-11,2021-05-30,100,147.0
241,47,99,2020-11-11,2021-05-30,100,138.25
242,47,4,2020-11-11,2021-05-30,75,181.2
243,48,6,2022-01-26,2022-08-10,50,148.95
244,48,10,2021-12-10,2022-08-10,25,182.79
245,48,21,2021-12-19,2022-04-27,25,187.16
246,48,5,2022-02-01,2022-03-11,100,141.22
247,48,36,2021-12-10,2022-08-10,75,91.22
248,49,6,2024-02-26,2024-05-19,75,161.97
249,49,10,2024-02-26,2024-05-19,100,184.11
250,50,17,2024-07-13,2024-11-24,75,113.32
251,50,22,2024-07-05,2024-09-28,75,123.16
252,50,25,2024-08-09,2024-11-24,50,169.09
253,50,40,2024-07-10,2024-11-24,100,97.55
254,50,4,2024-07-05,2024-11-24,75,201.55
255,50,19,2024-07-23,2024-10-19,100,128.56
256,51,6,2023-07-16,2023-08-28,25,154.04
257,51,10,2023-06-12,2023-11-10,25,192.45
258,51,21,2023-06-12,2023-11-10,75,193.11
259,51,36,2023-06-12,2023-09-10,25,91.67
260,51,37,2023-07-31,2023-11-10,75,154.87
261,51,81,2023-07-29,2023-11-10,100,141.01
262,51,29,2023-06-12,2023-11-10,100,139.79
263,51,47,2023-07-22,2023-11-10,50,90.78
264,52,6,2025-03-23,2025-07-01,25,164.18
265,52,10,2025-03-23,2025-09-21,100,202.37
266,52,21,2025-03-23,2025-09-21,25,194.49
267,52,51,2025-03-23,2025-09-06,25,125.24
268,52,53,2025-03-23,2025-09-21,100,146.78
269,52,40,2025-03-23,2025-05-02,100,96.8
270,53,20,2024-06-30,2024-10-25,75,81.9
271,53,35,2024-06-30,2024-10-25,100,153.97
272,53,99,2024-06-30,2024-10-25,75,122.61
273,53,69,2024-06-30,2024-10-25,50,118.17
274,53,13,2024-06-30,2024-10-06,100,123.26
275,53,36,2024-06-30,2024-09-04,100,85.81
276,53,19,2024-06-30,2024-08-15,50,110.78
277,54,6,2022-12-29,2023-02-01,75,164.91
278,54,10,2022-12-17,2023-01-15,75,208.66
279,54,21,2022-12-17,2023-02-01,50,207.24
280,55,6,2022-03-09,2022-06-26,25,171.66
281,55,10,2022-03-09,2022-05-07,50,197.57
282,55,21,2022-03-09,2022-06-18,50,189.3
283,55,53,2022-03-09,2022-06-26,75,146.7
284,55,19,2022-03-09,2022-06-23,75,123.78
285,56,6,2025-01-10,2025-03-06,100,168.82
286,56,10,2025-01-10,2025-03-06,50,203.37
287,56,21,2025-01-10,2025-02-07,75,212.29
288,56,29,2025-01-10,2025-03-06,100,135.55
289,56,71,2025-01-10,2025-03-06,100,162.4
290,57,17,2021-07-11,2022-03-09,75,117.93
291,57,22,2021-06-25,2022-03-09,25,123.3
292,57,25,2021-06-25,2022-03-09,25,181.76
293,57,5,2021-06-25,2022-03-09,75,123.44
294,57,46,2021-06-25,2022-03-09,50,139.55
295,57,53,2021-06-25,2022-02-09,100,140.55
296,58,17,2022-02-17,2022-07-20,100,114.12
297,58,22,2022-02-17,2022-07-20,75,107.69
298,58,25,2022-02-17,2022-07-20,25,180.93
299,59,36,2023-04-26,2023-05-22,100,88.15
300,59,13,2023-04-26,2023-06-09,75,126.73
301,59,35,2023-05-02,2023-06-09,50,174.75
302,59,69,2023-04-26,2023-06-09,100,112.4
303,59,57,2023-04-26,2023-06-09,25,103.99
304,59,73,2023-04-26,2023-06-09,50,153.35
305,59,20,2023-04-26,2023-05-19,50,80.77
306,60,6,2024-05-17,2024-08-20,75,157.19
307,60,10,2024-05-07,2024-08-20,100,191.24
308,60,21,2024-04-03,2024-07-16,25,209.1
309,60,47,2024-05-17,2024-08-20,25,88.48
310,61,34,2024-05-11,2024-08-12,100,122.37
311,61,5,2024-05-11,2024-08-12,50,135.83
312,61,58,2024-05-11,2024-08-12,100,90.31
313,62,6,2025-02-28,2025-08-05,100,147.95
314,62,10,2025-02-28,2025-06-26,75,204.15
315,62,21,2025-02-28,2025-08-05,100,179.28
316,62,47,2025-02-28,2025-08-05,100,100.72
317,62,99,2025-04-15,2025-08-05,75,143.76
318,63,17,2025-05-15,2025-11-18,100,120.77
319,63,22,2025-05-15,2025-11-18,100,106.9
320,63,25,2025-05-15,2025-11-18,100,189.4
321,63,19,2025-05-19,2025-11-18,100,133.58
322,63,95,2025-05-15,2025-11-18,100,199.29
323,63,53,2025-05-15,2025-11-18,75,150.51
324,64,6,2025-02-21,2025-05-23,50,156.85
325,64,10,2025-02-21,2025-05-23,50,205.44
326,65,6,2021-01-04,2021-08-28,50,150.67
327,65,10,2021-01-21,2021-08-28,100,191.7
328,65,21,2021-02-01,2021-08-28,50,193.68
329,65,64,2021-01-04,2021-08-10,50,144.77
330,65,35,2021-01-04,2021-08-28,100,181.29
331,65,40,2021-01-04,2021-08-28,50,102.22
332,65,4,2021-01-28,2021-08-28,100,184.2
333,65,81,2021-01-04,2021-08-28,75,136.06
334,66,17,2025-02-22,2025-08-23,100,111.1
335,66,22,2025-02-22,2025-08-23,100,112.4
336,66,25,2025-02-22,2025-08-23,75,177.24
337,66,26,2025-02-22,2025-04-24,100,152.24
338,66,35,2025-02-22,2025-08-23,25,195.73
339,67,17,2025-04-13,2025-12-30,75,122.29
340,67,22,2025-05-28,2025-09-13,100,115.36
341,67,25,2025-04-21,2025-12-30,100,162.58
342,67,58,2025-04-13,2025-12-30,75,99.46
343,67,66,2025-04-13,2025-12-30,100,126.78
344,67,3,2025-04-13,2025-12-30,25,114.8
345,68,6,2020-12-10,2021-06-24,25,170.24
346,68,10,2020-12-10,2021-03-22,25,204.91
347,68,21,2021-01-08,2021-06-24,100,186.92
348,68,43,2020-12-10,2021-06-24,50,167.97
349,68,35,2021-02-03,2021-06-24,75,176.45
350,69,6,2020-12-07,2021-07-13,50,175.76
351,69,10,2020-12-07,2021-07-13,100,201.29
352,69,21,2020-12-07,2021-05-30,100,197.57
353,69,66,2020-12-07,2021-07-13,100,121.36
354,70,65,2023-07-29,2023-09-21,100,164.95
355,71,47,2023-02-06,2023-03-21,75,81.1
356,71,83,2023-02-06,2023-03-21,50,111.36
357,71,35,2023-02-06,2023-03-21,25,169.32
358,71,90,2023-02-11,2023-03-21,25,121.82
359,72,66,2022-08-08,2022-09-14,75,121.18
360,72,34,2022-08-08,2022-09-14,50,123.5
361,72,2,2022-08-19,2022-09-14,75,115.74
362,72,65,2022-08-08,2022-09-14,100,169.82
363,73,36,2020-11-16,2021-02-02,25,93.47
364,74,19,2020-01-03,2020-02-28,50,124.03
365,74,74,2020-01-10,2020-02-28,25,108.27
366,74,65,2020-01-14,2020-02-28,100,169.34
367,74,5,2020-01-18,2020-02-28,50,118.52
368,75,34,2021-02-24,2022-02-24,75,117.84
369,75,20,2021-02-24,2022-02-24,75,79.22
370,75,58,2021-02-24,2022-02-24,50,81.53
